[01] , [5B] , [00] , [49] , [FF] , [91] , [01] , [3D] , 25:10:15:53:19:403
[02] , [5B] , [00] , [49] , [1C] , [8F] , [FF] , [31] , 25:10:15:53:19:437
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:19:536
[01] , [5B] , [00] , [4A] , [00] , [91] , [02] , [3D] , 25:10:15:53:19:536
[02] , [5B] , [00] , [4A] , [1C] , [8F] , [FF] , [31] , 25:10:15:53:19:570
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:19:669
[01] , [5B] , [00] , [4B] , [00] , [91] , [02] , [3D] , 25:10:15:53:19:669
[02] , [5B] , [00] , [4C] , [1C] , [8F] , [00] , [30] , 25:10:15:53:19:703
[03] , [5C] , [00] , [4C] , [FF] , [77] , [13] , [D9] , 25:10:15:53:19:736
[01] , [5B] , [00] , [4D] , [00] , [91] , [03] , [3D] , 25:10:15:53:19:803
[02] , [5B] , [00] , [4D] , [1C] , [8F] , [00] , [30] , 25:10:15:53:19:836
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:19:936
[01] , [5B] , [00] , [4E] , [00] , [91] , [03] , [3D] , 25:10:15:53:19:936
[02] , [5B] , [00] , [4E] , [1C] , [8F] , [00] , [30] , 25:10:15:53:19:969
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:20:036
[01] , [5B] , [00] , [4F] , [00] , [91] , [03] , [3D] , 25:10:15:53:20:069
[02] , [5B] , [00] , [50] , [1B] , [8E] , [00] , [2F] , 25:10:15:53:20:102
[03] , [5B] , [00] , [50] , [FF] , [77] , [13] , [DA] , 25:10:15:53:20:136
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:20:236
[02] , [5A] , [00] , [51] , [1B] , [8E] , [00] , [2F] , 25:10:15:53:20:236
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:20:369
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:20:369
[02] , [5B] , [00] , [52] , [1B] , [8E] , [00] , [2F] , 25:10:15:53:20:369
[03] , [5C] , [00] , [53] , [FF] , [77] , [12] , [DA] , 25:10:15:53:20:402
[01] , [5B] , [00] , [53] , [00] , [91] , [03] , [3D] , 25:10:15:53:20:469
[02] , [5B] , [00] , [54] , [1B] , [8E] , [00] , [2E] , 25:10:15:53:20:502
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:20:602
[01] , [5B] , [00] , [55] , [01] , [92] , [03] , [3D] , 25:10:15:53:20:602
[02] , [5B] , [00] , [55] , [1B] , [8E] , [00] , [2E] , 25:10:15:53:20:636
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:20:735
[01] , [5B] , [00] , [56] , [01] , [91] , [03] , [3D] , 25:10:15:53:20:735
[02] , [5B] , [00] , [56] , [1B] , [8E] , [00] , [2E] , 25:10:15:53:20:770
[03] , [5B] , [00] , [57] , [FF] , [77] , [13] , [DA] , 25:10:15:53:20:802
[01] , [5B] , [00] , [57] , [01] , [92] , [03] , [3D] , 25:10:15:53:20:869
[02] , [5B] , [00] , [58] , [1B] , [8E] , [00] , [2E] , 25:10:15:53:20:935
